titolare	domanda_id	database
PEREGO GIUSEPPE AD ARCORE MILANO	40	itapat_1970_2
DE GOBBI GRAZIANO A ARCUGNA O VICENZA	4773	itapat_1976_1
DE GOBBI GRAZIANO A ARCUGNANO VICENZA	6729	itapat_1976_1
PAVAN MASSIMO	768	itapat_1990_163
DE GOBBI GRAZIANO A ARCUGNANO VICENZA	3522	itapat_1976_2
CRUCIANELLI CARLO	865	itapat_1990_120
CRUCIANELLI CARLO	864	itapat_1990_120
FASCENDINI GIANCARLO AD ARDENNO SONDRIO BRIOSCHI GIUSEPPE A COLICO COMO	7865	itapat_1969_2
FASCENDINI GIANCARLO AD ARDENNO SONDRIO E BRIOSCHI GIUSEPPE A COLICO COMO	4642	itapat_1969_3
VILARDO GIUSEPPE	181	itapat_1990_87
ZITO GIUSEPPE	690	itapat_1990_95
VILARDO GIUSEPPE	690	itapat_1990_95
GIORDANO ANTONIO AD ARENZANO GENOVA	635	itapat_1979_3
A ARENZANO, GENOVA VALLE GIOVANNI	4467	itapat_1968_4
GIORDANO ANTONIO AD ARENZANO..GENOVA	3525	itapat_1976_2
GIORDANO ANTONIO AD ARENZANO GENOVA	634	itapat_1979_3
BRUSCAGIN ENRICO	828	itapat_1990_163
RONCHI RENATO	938	itapat_1990_31
ZUCCHELLI MARIO ARESE (MI)	2763	itapat_1988_3
TAVEGGIA PAOLO MARCO MARIA	862	itapat_1990_193
TAVEGGIA PAOLO MARCO MARIA	647	itapat_1990_185
ZUCCHELLI MARIO A ARESE MILANO	3465	itapat_1982_3
AMICABILE MAURIZIO	688	itapat_1990_171
POCCOBELLI FILIPPO	385	itapat_1990_80
AMICABILE MAURIZIO	162	itapat_1990_184
HORO LINEA DI ROBERTO MARCHI & DINOSFORAZZINI S.N.C.	296	itapat_1990_78
BIDINI ROBERTO	962	itapat_1990_41
BIANCHI GIOVANNI AD AREZZO AREZZO,FRZ.BAGNORO,LOC.MONTONCELLO	3789	itapat_1984_1
MASSARELLI GIUSEPPE A AREZZO	5324	itapat_1968_1
SQUARCIALUPI ROBERTO	166	itapat_1990_178
GROSSI DOMENICO MOSE'	549	itapat_1990_31
BERTAZZOLI COVA FRANCO	2463	itapat_1987_3
PIATTELLI PALMARINI ALBERTO A AREZZO	1919	itapat_1987_1
BIANCHI GIOVANNI AD AREZZO FR. PIEVE A BAGNORO	1004	itapat_1988_3
G.BANDINELLI S.N.C. DI BANDINELLI GIUSEPPE E C.	2247	itapat_1988_2
BIANCHINI ANDREA E MIGLIORINI GIUSEPPE AD AREZZO	5531	itapat_1968_2
BIANCHI GIOVANNI AD AREZZO FR. PIEVE A BAGNORO	3472	itapat_1988_2
VALENTI PAOLO	26	itapat_1990_136
BENELLI PAOLO	424	itapat_1990_88
ROSSI ENRICO	272	itapat_1990_50
ROSSI GIUSEPPE A FUNO DI ARGELATO, BOLOGNA RIGHI ROBERTO CONDI GIANCARLO	3533	itapat_1984_2
SUNCOVER S.N.C. DI PICCIONI TOMMASOE FINELLI GIUSEPPE A FUNO DI ARGELATO BOLOGNA	2357	itapat_1980_1
ROSSI GIUSEPPE A FUNO DI ARGELATO, BOLOGNA RIGHI ROBERTO CONDI GIANCARLO	3648	itapat_1984_2
GHIRARDELLI GIORGIO,	249	itapat_1990_18
S.A.S. ZEUS ELETTROSTATIC SYSTEM DIRICCI GIACOMO E RUBIN GIUSEPPE A ARGENTA FERRARA	8522	itapat_1973_2
ANCONELLI GIUSEPPE	861	itapat_1990_161
MENEGATTI CLAUDIO	921	itapat_1990_78
S.A.S. ZEUS ELECTROSTATIC SYSTEM DI RICCI GIACOMO E RUBIN GIUSEPPE A ARGENTA FERRARA	8521	itapat_1973_2
VASELLI GIUSEPPE	218	itapat_1990_45
MANDELLI ANTONIO BUENOS AIRES ARGENTINA	2609	itapat_1978_1
GROSSI DOMENICO MOSE'	434	itapat_1990_69
SANTAROSSA HECTOR FRANCISCO SUAREZ ALBERTO HORACIO VICICONTE LUIS ALBERTO COSTANTINO ANSELMO RAUL SUAREZ MARIO IN ARGENTINA	3437	itapat_1976_3
MANDELLI ANTONIO BUENOS AIRES ARGENTINA	3993	itapat_1977_1
AMADEO JOAQUIN PISANU DOMINGO SANTO LIOTTA FIDEL OSVALDO DONATO HELIO MARIO FERRARI A BUENOS AIRES ARGENTINA	4089	itapat_1979_1
GROSSI DOMENICO MOSE'	488	itapat_1990_23
DI MAINA MARIO	861	itapat_1990_49
SAVINO LUIGI A ARIANO IRPINO AVELLINO	4351	itapat_1980_2
SAVINO LUIGI	153	itapat_1990_1
SAVINO LUIGI	105	itapat_1990_72
BOLZONI GIUSEPPE AD ARIANO POLESINE, ROVIGO	762	itapat_1969_2
PEDANDOLA GIANCARLO LONATI ANTONIO A ARLUNO MILANO	1303	itapat_1985_2
OFFICINA MECCANICA SESTESE S.A.S. DI ROSSI CRISTINA E C. AD ARONA NOVARA	7407	itapat_1972_1
OFFICINA MECCANICA SESTESE S.A.S. DI ROSSI CRISTINA E C. AD ARONA NOVARA	2225	itapat_1972_3
OFFICINA MECCANICA SESTESE S.A.S. DI ROSSI CRISTINA E C. AD ARONA NOVARA	4446	itapat_1972_2
OFFICINA MECCANICA SESTESE S.A.S. DI ROSSI CRISTINA E C. AD ARONA NOVARA	236	itapat_1972_1
